Age,Profession,Sex,Province,S_Occasion,C_Occasion,C_Frequency,S_Frequency,S_Screentime,S_Time(weekday),S_Time(weekend),S_Usage(festival),Cluster_ID
30-39ปี,ธุรกิจส่วนตัว,ชาย,กรุงเทพมหานคร,LINE,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,2
30-39ปี,ธุรกิจส่วนตัว,ชาย,กรุงเทพมหานคร,LINE,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,5-6 ชม./วัน,18.00-21.59น.,9.00-17.59น.,ใช้มากกว่าปกติ,1
23-29ปี,ธุรกิจส่วนตัว,หญิง,กรุงเทพมหานคร,Facebook,"ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้, ดื่มก่อนไปปาร์ตี้กับเพื่อน",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น.",ใช้น้อยกว่าปกติ,1
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Twitter,ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,1
23-29ปี,ธุรกิจส่วนตัว,ชาย,กรุงเทพมหานคร,Facebook,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",แคปซูลกาแฟ,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น.",ใช้เท่าเดิม,1
30-39ปี,ธุรกิจส่วนตัว,ชาย,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,1-2 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น.",ใช้เท่าเดิม,1
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,22.01-4.59น.,22.01-4.59น.,ใช้เท่าเดิม,2
30-39ปี,ธุรกิจส่วนตัว,หญิง,กรุงเทพมหานคร,LINE,ไม่ดื่มกาแฟ,0,ทุกวัน,3-4 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,2
30-39ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,Facebook,ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,แคปซูลกาแฟ,ทุกวัน,มากกว่า 6 ชม./วัน,22.01-4.59น.,22.01-4.59น.,ใช้มากกว่าปกติ,0
40-49ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Instagram,ไม่ดื่มกาแฟ,0,ทุกวัน,5-6 ชม./วัน,18.00-21.59น.,9.00-17.59น.,ใช้มากกว่าปกติ,2
40-49ปี,ฟรีแลนซ์/อาชีพอิสระ,หญิง,กรุงเทพมหานคร,LINE,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟผงสำเร็จรูป,ทุกวัน,มากกว่า 6 ชม./วัน,"18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Twitter,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,2
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Twitter,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,18.00-21.59น.,18.00-21.59น.,ใช้เท่าเดิม,2
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Instagram,ไม่ดื่มกาแฟ,0,5-6 ครั้ง/อาทิตย์,1-2 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,2
30-39ปี,พนักงานบริษัทเอกชน,หญิง,ลำพูน,Twitter,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,2
30-39ปี,ธุรกิจส่วนตัว,ชาย,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,3-4 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,1
30-39ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,TikTok,ไม่ดื่มกาแฟ,0,ทุกวัน,5-6 ชม./วัน,"18.00-21.59น., 22.01-4.59น.","18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,2
23-29ปี,พนักงานรัฐวิสาหกิจ,หญิง,ปทุมธานี,Twitter,ไม่ดื่มกาแฟ,0,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,18.00-21.59น.,ใช้น้อยกว่าปกติ,2
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Instagram,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,2
50ปี ขึ้นไป,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,TikTok,ไม่ดื่มกาแฟ Ready to drink เลย,แคปซูลกาแฟ,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,9.00-17.59น.,ใช้เท่าเดิม,0
40-49ปี,พนักงานบริษัทเอกชน,ไม่ระบุ,กรุงเทพมหานคร,Instagram,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,5-6 ชม./วัน,9.00-17.59น.,9.00-17.59น.,ใช้เท่าเดิม,0
30-39ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,2
30-39ปี,พนักงานบริษัทเอกชน,หญิง,สมุทรปราการ,Instagram,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,18.00-21.59น.,ใช้มากกว่าปกติ,1
40-49ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ดื่มระหว่างเดินทาง/ขับรถ,กาแฟผงสำเร็จรูป,ทุกวัน,3-4 ชม./วัน,"9.00-17.59น., 18.00-21.59น.",9.00-17.59น.,ใช้น้อยกว่าปกติ,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,TikTok,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,1
40-49ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,TikTok,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างเดินทาง/ขับรถ",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,3-4 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,2
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,1
50ปี ขึ้นไป,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟผงสำเร็จรูปพร้อมดื่ม (3-in-1),ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,9.00-17.59น.,ใช้มากกว่าปกติ,2
40-49ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ไม่ดื่มกาแฟ,0,ทุกวัน,1-2 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น.",ใช้เท่าเดิม,2
23-29ปี,พนักงานบริษัทเอกชน,หญิง,นนทบุรี,Twitter,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,สงขลา,TikTok,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,5-6 ชม./วัน,"05.00-8.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้น้อยกว่าปกติ,1
50ปี ขึ้นไป,พนักงานบริษัทเอกชน,หญิง,สงขลา,Facebook,ดื่มให้ตื่นตัวในตอนเช้า,กาแฟผงสำเร็จรูป,5-6 ครั้ง/อาทิตย์,มากกว่า 6 ชม./วัน,05.00-8.59น.,05.00-8.59น.,ใช้เท่าเดิม,1
50ปี ขึ้นไป,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,LINE,ดื่มระหว่างเดินทาง/ขับรถ,กาแฟพร้อมดื่ม (Ready to drink),ทุกวัน,มากกว่า 6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,นครราชสีมา,LINE,ดื่มระหว่างเดินทาง/ขับรถ,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,5-6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ดื่มระหว่างเดินทาง/ขับรถ,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,9.00-17.59น.,9.00-17.59น.,ใช้มากกว่าปกติ,1
40-49ปี,พนักงานบริษัทเอกชน,หญิง,นนทบุรี,Facebook,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,9.00-17.59น.,9.00-17.59น.,ใช้มากกว่าปกติ,1
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Twitter,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,5-6 ชม./วัน,"9.00-17.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,ปทุมธานี,Twitter,ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,5-6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,TikTok,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,5-6 ชม./วัน,9.00-17.59น.,9.00-17.59น.,ใช้น้อยกว่าปกติ,2
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Instagram,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",22.01-4.59น.,ใช้เท่าเดิม,2
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ไม่ดื่มกาแฟ Ready to drink เลย,แคปซูลกาแฟ,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,18.00-21.59น.,ใช้มากกว่าปกติ,1
40-49ปี,แพทย์,ชาย,นนทบุรี,LINE,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟผงสำเร็จรูป,ทุกวัน,3-4 ชม./วัน,18.00-21.59น.,"9.00-17.59น., 18.00-21.59น.",ใช้มากกว่าปกติ,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,3-4 ชม./วัน,22.01-4.59น.,"9.00-17.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,0
40-49ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,LINE,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,1-2 ชม./วัน,9.00-17.59น.,22.01-4.59น.,ใช้มากกว่าปกติ,0
40-49ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ Ready to drink เลย,แคปซูลกาแฟ,5-6 ครั้ง/อาทิตย์,5-6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,0
30-39ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,Instagram,ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,3-4 ชม./วัน,"9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 18.00-21.59น.",ใช้มากกว่าปกติ,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Twitter,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,9.00-17.59น.,18.00-21.59น.,ใช้เท่าเดิม,2
50ปี ขึ้นไป,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ดื่มระหว่างเดินทาง/ขับรถ,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,5-6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น.","9.00-17.59น., 22.01-4.59น.",ใช้เท่าเดิม,0
40-49ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,18.00-21.59น.,18.00-21.59น.,ใช้เท่าเดิม,2
30-39ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,Facebook,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มระหว่างเดินทาง/ขับรถ",กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,0
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,TikTok,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,นนทบุรี,TikTok,ไม่ดื่มกาแฟ Ready to drink เลย,แคปซูลกาแฟ,ทุกวัน,มากกว่า 6 ชม./วัน,"05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้เท่าเดิม,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,TikTok,ไม่ดื่มกาแฟ Ready to drink เลย,แคปซูลกาแฟ,ทุกวัน,3-4 ชม./วัน,"18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,1
30-39ปี,พนักงานบริษัทเอกชน,หญิง,ภูเก็ต,Twitter,ไม่ดื่มกาแฟ Ready to drink เลย,กาแฟสดคั่วบด เช่น ร้านกาแฟสด,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ใช้มากกว่าปกติ,1
40-49ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,Facebook,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มระหว่างเดินทาง/ขับรถ",กาแฟผงสำเร็จรูปพร้อมดื่ม (3-in-1),3-4 ครั้ง/อาทิตย์,1-2 ชม./วัน,"05.00-8.59น., 18.00-21.59น., 22.01-4.59น.",9.00-17.59น.,ใช้มากกว่าปกติ,0
23-29ปี,พนักงานบริษัทเอกชน,หญิง,กรุงเทพมหานคร,TikTok,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น.",9.00-17.59น.,ใช้มากกว่าปกติ,2
23-29ปี,พนักงานบริษัทเอกชน,ชาย,กรุงเทพมหานคร,Facebook,ไม่ดื่มกาแฟ,0,ทุกวัน,มากกว่า 6 ชม./วัน,"9.00-17.59น., 18.00-21.59น., 22.01-4.59น.","05.00-8.59น., 9.00-17.59น., 18.00-21.59น., 22.01-4.59น.",ไม่ใช้โซเชียลมีเดียเลย,2
